Nombre,Departamento,Asignaturas,Horario de Tutorías,URL
Miguel Gea Mejías,Departamento de Lenguajes y Sistemas Informáticos,Grado en Bellas Artes: Creación Multimedia Interactiva; Grado en Comunicación Audiovisual: Creatividad e Innovación Audiovisual; Grado en Ingeniería Informática: Desarrollo de Aplicaciones para Internet (Especialidad Tecnologías de la Información); Grado en Ingeniería Informática: Diseño de Interfaces de Usuario (Optativa Especialidad Ingeniería del Software); Grado en Ingeniería Informática: Diseño de Interfaces de Usuario (Especialidad Ingeniería del Software),Primer semestreDíaHorarioLugarMartes9:00 - 11:00Etsiit Desp. 8 3ª PlantaSegundo semestreDíaHorarioLugarLunes11:00 - 13:00Etsiit Desp. 8 3ª PlantaMartes11:00 - 13:00F. Com. y Docum.  Desp. XMiércoles11:00 - 12:00F. Bellas Artes Aula InformáticaJueves11:00 - 12:00F. Bellas Artes Aula Informática,https://etsiit.ugr.es/la-escuela/directorio-personal/miguel-gea-mejias
Sheldon Miriel Gil Dantas,Departamento de Análisis Matemático,Grado en Ingeniería de Tecnologías de Telecomunicación: Análisis Matemático; Grado en Ingeniería Informática: Cálculo,DíaHorarioLugarMartes11:30 - 15:30Facultad de CienciasJueves10:30 - 13:30Facultad de Ciencias,https://etsiit.ugr.es/la-escuela/directorio-personal/sheldon-miriel-gil-dantas
Ángel Manuel Gómez García,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería de Tecnologías de Telecomunicación: Señales Digitales; Grado en Ingeniería Electrónica Industrial: Tratamiento de Señales para Procesos Industriales,"DíaHorarioLugarMartes11:30 - 13:00Desp. 3, Fac. CienciasMiércoles11:30 - 13:00Desp. 3, Fac. CienciasJueves11:30 - 13:00Desp. 3, Fac. Ciencias",https://etsiit.ugr.es/la-escuela/directorio-personal/angel-manuel-gomez-garcia
José Antonio Gómez Hernández,Departamento de Lenguajes y Sistemas Informáticos,Grado en Criminología: Seguridad de Redes y Telecomunicaciones; Grado en Ingeniería Informática: Seguridad en Sistemas Operativos (Especialidad Ingeniería de Software),Primer semestreDíaHorarioLugarMiércoles13:30 - 14:30Etsiit 3ª P Despacho 10Jueves16:00 - 19:00Etsiit 3ª P Despacho 10Viernes16:00 - 18:00Etsiit 3ª P Despacho 10Segundo semestreDíaHorarioLugarLunes16:30 - 19:30Etsiit 3ª P Despacho 10Miércoles16:30 - 19:30Etsiit 3ª P Despacho 10,https://etsiit.ugr.es/la-escuela/directorio-personal/jose-antonio-gomez-hernandez
Francisco Gómez Mula,"Departamento de Ingeniería de Computadores, Automática y Robótica",Grado en Ingeniería de Tecnologías de Telecomunicación: Sistemas de Control  (Especialidad Sistemas Electrónicos); Grado en Ingeniería de Tecnologías de Telecomunicación: Sistemas de Control (Optativa Especialidad Sistemas Electrónicos); Grado en Ingeniería Electrónica Industrial: Domótica,Primer semestreDíaHorarioLugarMiércoles9:00 - 14:00Planta 2 D.30-31 EtsiitJueves13:30 - 14:30Planta 2 D.30-31 EtsiitSegundo semestreDíaHorarioLugarJueves9:00 - 14:00Planta 2 D.30-31 EtsiitJueves17:30 - 18:30Planta 2 D.30-31 Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/francisco-gomez-mula
Manuel Gómez Olmedo,Departamento de Ciencias de la Computación e Inteligencia Artificial,Grado en Ingeniería Informática: Inteligencia Artificial; Grado en Ingeniería Informática: Nuevas Tecnologías de la Programación (Especialidad Ingeniería del Software),Primer semestreDíaHorarioLugarMartes11:30 - 14:30D31 (Etsiit)Jueves11:30 - 14:30D31 (Etsiit)Segundo semestreDíaHorarioLugarLunes11:30 - 13:30D31 (Etsiit)Martes11:30 - 13:30D31 (Etsiit)Viernes11:30 - 13:30D31 V,https://etsiit.ugr.es/la-escuela/directorio-personal/manuel-gomez-olmedo
José Gómez Torrecillas,Departamento de Álgebra,Grado en Ingeniería Informática y Matemáticas: Álgebra III; Grado en Matemáticas: Álgebra III; Grado en Matemáticas y Física: Álgebra III,DíaHorarioLugarMiércoles12:00 - 14:00Fac. Ciencias - Desp.36Jueves11:00 - 14:00Fac. Ciencias - Desp.36Viernes11:00 - 12:00Fac. Ciencias - Desp.36,https://etsiit.ugr.es/la-escuela/directorio-personal/jose-gomez-torrecillas
Daniel González Castro,Departamento de Electrónica y Tecnología de Computadores,Grado en Ingeniería de Tecnologías de Telecomunicación: Electrónica Digital; Grado en Ingeniería Informática y Matemáticas: Fundamentos Físicos y Tecnológicos,No disponible,https://etsiit.ugr.es/la-escuela/directorio-personal/daniel-gonzalez-castro
José Andrés González López,"Departamento de Teoría de la Señal, Telemática y Comunicaciones",Grado en Ingeniería Electrónica Industrial: Sistemas Robóticos Industriales; Grado en Ingeniería Informática: Procesamiento Digital de Señales (Especialidad Tecnologías de la Información); Grado en Ingeniería Informática: Robótica Industrial (Especialidad Computación y Sistemas Inteligentes),Primer semestreDíaHorarioLugarLunes10:00 - 13:00Desp. 0.9 Edf. Auxiliar EtsiitJueves10:00 - 13:00Desp. 0.9 Edf. Auxiliar EtsiitSegundo semestreDíaHorarioLugarLunes9:30 - 13:30Desp. 0.9 Edf. Auxiliar EtsiitLunes14:30 - 16:30Desp. 0.9 Edf. Auxiliar Etsiit,https://etsiit.ugr.es/la-escuela/directorio-personal/jose-andres-gonzalez-lopez
María José González López,Departamento de Economía Financiera y Contabilidad,Grado en Edificación y Administración y Dirección de Empresas: Análisis de Operaciones Financieras; Grado en Finanzas y Contabilidad: Creación de Empresas; Grado en Ingeniería Informática y Administración y Dirección de Empresas: Análisis de las Operaciones Financieras; Grado en Ingeniería Civil y Administración y Dirección de Empresas: Análisis de Operaciones Financieras; Grado en Marketing e Investigación de Mercados: Creación de Empresas,Primer semestreDíaHorarioLugarMartes9:00 - 15:00A 318Segundo semestreDíaHorarioLugarLunes9:30 - 12:30A 318Martes9:30 - 12:30A 318,https://etsiit.ugr.es/la-escuela/directorio-personal/maria-jose-gonzalez-lopez
